SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1651009,TCGA-AA-3660-01,PPARG,normal,      -0.717,376
2197970,TCGA-CD-8533-01,PPARG,normal,      -0.398,541
2122184,TCGA-J8-A3NZ-01,PPARG,normal,      -0.187,542
2340321,TCGA-2J-AABO-01,PPARG,normal,      -0.439,629
1731269,TCGA-29-1785-01,PPARG,normal,      -0.244,331
1475053,TCGA-23-1026-01,PPARG,normal,       0.136,331
2195200,TCGA-22-5483-01,PPARG,normal,      -0.835,418
2194285,TCGA-HT-7603-01,PPARG,normal,      -0.044,545
2197830,TCGA-EB-A6QY-01,PPARG,normal,      -0.702,540
2269904,TCGA-JY-A6FH-01,PPARG,normal,      -0.299,633
1899727,TCGA-A8-A09Q-01,PPARG,normal,      -0.268,414
2121582,TCGA-DA-A3F5-06,PPARG,normal,      -0.719,540
2269916,TCGA-KM-8639-01,PPARG,normal,      -1.253,634
2262906,TCGA-LL-A8F5-01,PPARG,normal,      -0.548,414
2386205,TCGA-VS-A9UR-01,PPARG,normal,      -0.428,415
2120420,TCGA-B0-4714-01,PPARG,normal,      -0.313,416
2194636,TCGA-DD-A39Y-01,PPARG,normal,       1.380,628
1779909,TCGA-BP-4970-01,PPARG,normal,      -0.689,416
2339719,TCGA-YL-A8S9-01,PPARG,normal,       1.464,435
2196534,TCGA-IB-7890-01,PPARG,normal,      -0.321,629
1779989,TCGA-CJ-5677-01,PPARG,normal,      -0.423,416
2198179,TCGA-KS-A41F-01,PPARG,normal,      -0.210,542
2270253,TCGA-KN-8437-01,PPARG,normal,      -0.878,634
2198238,TCGA-DJ-A3VG-01,PPARG,normal,      -0.051,542
2196378,TCGA-31-1944-01,PPARG,normal,      -0.145,331
2195237,TCGA-77-A5GB-01,PPARG,normal,      -0.908,418
2193896,TCGA-BP-4344-01,PPARG,normal,      -0.356,416
2195068,TCGA-60-2697-01,PPARG,normal,      -0.507,418
2339867,TCGA-DD-AACG-01,PPARG,normal,       1.613,628
1899677,TCGA-A8-A07B-01,PPARG,normal,      -0.654,414
2187890,TCGA-A2-A3KD-01,PPARG,normal,      -0.315,414
1779969,TCGA-CJ-4882-01,PPARG,normal,      -0.637,416
2386050,TCGA-2Y-A9GZ-01,PPARG,normal,       0.205,628
2262705,TCGA-A7-A6VY-01,PPARG,normal,      -0.715,414
2457459,TCGA-HV-AA8V-01,PPARG,normal,      -0.393,629
2262907,TCGA-W8-A86G-01,PPARG,normal,      -0.036,414
1783370,TCGA-AX-A06B-01,PPARG,normal,       1.190,419
2121885,TCGA-DJ-A2PS-01,PPARG,normal,      -0.202,542
1915894,TCGA-HC-7747-01,PPARG,normal,      -0.171,435
2198433,TCGA-EO-A3AU-01,PPARG,normal,      -0.550,419
1900137,TCGA-E2-A15E-06,PPARG,normal,      -0.758,414
2121904,TCGA-DJ-A2QB-01,PPARG,normal,      -0.117,542
1899980,TCGA-BH-A1FE-06,PPARG,over,       2.405,414
2262901,TCGA-K4-A5RJ-01,PPARG,normal,       1.082,413
1781437,TCGA-37-4133-01,PPARG,normal,      -0.480,418
2270148,TCGA-FX-A2QS-01,PPARG,normal,      -0.193,635
2198253,TCGA-FY-A4B0-01,PPARG,normal,      -0.045,542
2194828,TCGA-55-7576-01,PPARG,normal,      -0.008,417
2121902,TCGA-DJ-A2Q9-01,PPARG,normal,      -0.173,542
2270197,TCGA-QQ-A5V2-01,PPARG,normal,      -0.180,635
2269815,TCGA-DX-A6BG-01,PPARG,normal,      -0.059,635
2120524,TCGA-CZ-4857-01,PPARG,normal,      -0.814,416
2385769,TCGA-4N-A93T-01,PPARG,normal,       0.594,376
2193321,TCGA-FU-A3YQ-01,PPARG,normal,      -0.291,415
2386185,TCGA-MA-AA3W-01,PPARG,normal,      -0.398,415
2121530,TCGA-D3-A3C8-06,PPARG,normal,       1.024,540
2198274,TCGA-D1-A175-01,PPARG,normal,       0.184,419
2194598,TCGA-DD-A114-01,PPARG,normal,      -0.513,628
2194833,TCGA-MP-A4TE-01,PPARG,normal,      -0.691,417
1899883,TCGA-BH-A0B0-01,PPARG,normal,       1.118,414
2187768,TCGA-E2-A570-01,PPARG,normal,      -0.661,414
2194400,TCGA-DU-7014-01,PPARG,normal,      -0.877,545
2121601,TCGA-EB-A44N-01,PPARG,normal,      -0.078,540
2198298,TCGA-AJ-A3OL-01,PPARG,over,       4.252,419
2263199,TCGA-ZS-A9CF-01,PPARG,normal,      -0.586,628
2269914,TCGA-KL-8341-01,PPARG,normal,       0.009,634
1779257,TCGA-A1-A0SJ-01,PPARG,normal,       0.410,414
2195206,TCGA-77-8133-01,PPARG,normal,      -0.162,418
1899799,TCGA-AO-A1KR-01,PPARG,normal,      -0.636,414
1651601,TCGA-DC-5337-01,PPARG,normal,       0.407,375
2120471,TCGA-BP-4354-01,PPARG,normal,      -0.572,416
1474908,TCGA-29-2427-01,PPARG,normal,       0.324,331
2121689,TCGA-EE-A2MS-06,PPARG,normal,      -0.205,540
2263253,TCGA-3L-AA1B-01,PPARG,normal,       0.274,376
2270052,TCGA-PC-A5DN-01,PPARG,normal,      -0.216,635
2193195,TCGA-FD-A5BV-01,PPARG,normal,       0.526,413
2120352,TCGA-32-2632-01,PPARG,normal,       0.597,329
1899689,TCGA-A8-A07Z-01,PPARG,normal,      -0.006,414
2197589,TCGA-EJ-8469-01,PPARG,normal,      -0.256,435
2195099,TCGA-56-7222-01,PPARG,normal,       0.086,418
2385976,TCGA-KK-A8I8-01,PPARG,normal,      -0.608,435
2121632,TCGA-EE-A29A-06,PPARG,normal,      -0.279,540
2198001,TCGA-HU-8238-01,PPARG,normal,       0.174,541
2195171,TCGA-J1-A4AH-01,PPARG,normal,       0.623,418
1651561,TCGA-AG-3887-01,PPARG,normal,      -1.036,375
1783515,TCGA-D1-A16Q-01,PPARG,normal,      -0.275,419
2122000,TCGA-EL-A3T7-01,PPARG,normal,      -0.115,542
1779913,TCGA-BP-4974-01,PPARG,normal,      -0.058,416
1338066,TCGA-27-2521-01,PPARG,normal,      -1.070,329
