SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
2194357,TCGA-DU-7304-01,HRAS,normal,      -0.662,545
2121802,TCGA-GN-A26D-06,HRAS,normal,      -0.082,540
2386238,TCGA-DF-A2KY-01,HRAS,normal,       0.771,419
2120499,TCGA-CJ-4639-01,HRAS,normal,      -0.641,416
2198063,TCGA-HU-8243-01,HRAS,normal,      -0.096,541
2194571,TCGA-DD-A3A6-01,HRAS,over,       5.795,628
1651561,TCGA-AG-3887-01,HRAS,normal,       0.076,375
2339183,TCGA-2F-A9KO-01,HRAS,normal,      -0.987,413
2263459,TCGA-CN-A642-01,HRAS,normal,       0.127,627
1913990,TCGA-44-8119-01,HRAS,normal,       1.315,417
2270000,TCGA-G8-6914-01,HRAS,normal,       0.480,632
1779868,TCGA-B0-5713-01,HRAS,normal,      -0.403,416
2385976,TCGA-KK-A8I8-01,HRAS,normal,      -0.134,435
2269904,TCGA-JY-A6FH-01,HRAS,normal,       0.005,633
2340043,TCGA-CC-A8HS-01,HRAS,normal,      -0.402,628
2198017,TCGA-CG-5721-01,HRAS,normal,       0.682,541
1475010,TCGA-09-2045-01,HRAS,normal,      -1.052,331
2339864,TCGA-CC-A7II-01,HRAS,over,       2.808,628
2121689,TCGA-EE-A2MS-06,HRAS,normal,      -0.826,540
1913988,TCGA-44-7672-01,HRAS,normal,      -0.285,417
2263095,TCGA-S9-A7J0-01,HRAS,normal,      -0.730,545
2198113,TCGA-HU-A4GC-01,HRAS,normal,       0.457,541
1900157,TCGA-E2-A1B6-01,HRAS,normal,       0.813,414
1337989,TCGA-14-0790-01,HRAS,normal,      -0.401,329
2121761,TCGA-FS-A1ZJ-06,HRAS,normal,      -0.520,540
1779933,TCGA-BP-5004-01,HRAS,normal,      -0.564,416
2121957,TCGA-EL-A3CN-01,HRAS,normal,      -0.707,542
2195213,TCGA-66-2769-01,HRAS,normal,      -0.609,418
2120269,TCGA-06-5418-01,HRAS,normal,      -0.183,329
1779249,TCGA-CU-A0YR-01,HRAS,normal,      -1.156,413
1898089,TCGA-CF-A3MH-01,HRAS,normal,      -0.473,413
1780176,TCGA-55-1592-01,HRAS,normal,      -0.811,417
2193225,TCGA-LT-A5Z6-01,HRAS,normal,      -0.925,413
2198274,TCGA-D1-A175-01,HRAS,normal,      -0.497,419
2194243,TCGA-DU-6403-01,HRAS,normal,      -0.138,545
1915891,TCGA-HC-7737-01,HRAS,normal,      -0.614,435
1650943,TCGA-A6-5660-01,HRAS,normal,      -0.780,376
2122100,TCGA-ET-A2MY-01,HRAS,normal,      -0.334,542
2195223,TCGA-56-7221-01,HRAS,normal,      -0.683,418
1651283,TCGA-DM-A1DB-01,HRAS,normal,      -0.558,376
2198028,TCGA-BR-7958-01,HRAS,normal,      -0.653,541
2194636,TCGA-DD-A39Y-01,HRAS,over,       3.934,628
2187890,TCGA-A2-A3KD-01,HRAS,normal,      -0.168,414
2385702,TCGA-3A-A9IX-01,HRAS,normal,      -0.840,629
2263250,TCGA-EK-A2RN-01,HRAS,over,       2.322,415
1651000,TCGA-AA-3553-01,HRAS,normal,      -0.198,376
1651557,TCGA-AG-3881-01,HRAS,normal,       1.214,375
2340104,TCGA-XJ-A9DK-01,HRAS,normal,       0.170,435
2385956,TCGA-KC-A4BV-01,HRAS,normal,       0.011,435
2194352,TCGA-E1-5304-01,HRAS,normal,      -1.140,545
2187747,TCGA-EW-A2FV-01,HRAS,normal,       1.353,414
1651616,TCGA-EI-6507-01,HRAS,normal,      -0.356,375
2262705,TCGA-A7-A6VY-01,HRAS,normal,       0.094,414
2122016,TCGA-EL-A4K4-01,HRAS,normal,      -0.496,542
2121786,TCGA-FW-A5DX-01,HRAS,normal,      -0.997,540
